vehicle,area,fee,contract_deduct,remarks,vehicle_effective_date,vehicle_end_date
LJ11KCBE6L1117603,,,,,,
LJ11KCBE8L1112029,,,,,,
JTDBT22E200324488,,,,,,
LJ11KCBD1L1122294,,,,,,
LJ11KCBD1L1122263,,,,,,
LJ11KRBD1L1125005,,,,,,
LJ11KRBDXL1125004,,,,,,
LJ11KCBD0M1111837,,,,,,
LJ11KCBD3M1112044,,,,,,
LJ11KCBD2M1111841,,,,,,
LJ11KCBD5M1112045,,,,,,
LJ11KCBD1M1112043,,,,,,
LJ11KCBD9M1111786,,,,,,
LJ11KCBD0M1111840,,,,,,
JALFXZ777G7000031,,,,,,
S402M-0059298,,,,,,
JALCYH52TG7000024,,,,,,
V93W-1000314,"港珠澳許可證
18/1/19 send VRD to Benny",,,,,
V93W-1000317,"港珠澳許可證
18/1/19 send VRD to Benny",,,,,
VR3ERHNS3LJ547514,,,,,,
VR3ERHNS3MJ542769,,,,,,
VR3ERHNS3LJ836040,,,,,,
VR3ERHNS3LJ797492,,,,,,
VR3ERHNS3MJ623483,,,,,,
VR3ERHNS3MJ623482,,,,,,
VR3ERHNS3MJ782949,,,,,,
VR3ERHNS3MJ782944,,,,,,
VR3ERHNS3MJ785620,,,,,,
VR3ERHNS3MJ782946,,,,,,
VR3ERHNS3MJ782948,,,,,,
VR3ERHNS3MJ782942,,,,,,
VR3ERHNS3MJ782951,,,,,,
VR3ERHNS3MJ782947,,,,,,
VR3ERHNS3MJ782945,,,,,,
VR3ERHNS3MJ782943,,,,,,
VR3ERHNS3MJ785619,,,,,,
VR3ERHNS3MJ785621,,,,,,
VR3ERHNS3MJ782950,,,,,,
JTFHT02PX00060413,,,,,,
LJ11KCBD1L1121016,,,,,,
LJ11KCBD5L1122265,,,,,,
NCP20-0346348,郊野公園証,,,,,
NCP21-0067025,,,,,,
NCP100-0139934,,,,,,
LJ11KCBD7M1111785,,,,,,
LJ11KCBD2M1111838,,,,,,
LJ11KCBD4M1111839,,,,,,
NCP20-0338464,"寶雲道禁區証
2/8/19 send VRD to Benny",,,,,
JT7X2RB7107003092,"大嶼山証
5/3/19 send VRD to Benny",,,,,
LGAX2C144J1820246,,,,,,
JT7X2RB8007003304,,,,,,
JT7X2RB8007003279,,,,,,
JT7X2RB8007003297,,,,,,
JTDKB20U607846853,,,,,,
JTFHT02P800055632,,,,,,
JT7X2RB7107001983,,,,,,
JT7X2RB7107005385,"深圳灣禁區証
(28/5/19 send vrd to 初)",,,,,
JTDKD3B3801560753,"禁區証取消28/5/19
梅窩禁區証
(28/3/19 send vrd to 初)",,,,,
JT7X2RB8007000211,,,,,,
JTDKD3B3301588010,,,,,,
LVBV4JBB2FJ057708,,,,,,
JHMGD18502S232297,,,,,,
JAANPR66LR-7100203,,,,,,
JAANPR66LT-7104082,,,,,,
JAANPR70LY7101515,,,,,,
JAANPR66PV-7100347,,,,,,
JAANPR70L47101043,,,,,,
MPATFS54H5H530384,,,,,,
NCP20-0342413,,,,,,
LGAX2C134J1819766,$110 (超長),,,,,
LGAX2C134J1820240,$110 (超長),,,,,
LGAX2C136J1820238,$110 (超長),,,,,
LGAX2C132J1820236,$110 (超長),,,,,
LGAX2C138J1820239,$110 (超長),,,,,
LGAX2C134J1820237,$110 (超長),,,,,
LGAX2C130J1820235,$110 (超長),,,,,
JTDBT22E903250615,,,,,,
JTDZZ9H350L000526,"寶雲道禁區証
2/8/19 send VRD to Benny",,,,,
JT7X2RB8007000172,,,,,,
JTNGK3DH60B007770,,,,,,
JTNGZ3DH308054864,,,,,,
WDDNG71X29A240900,,,,,,
JTFSAFAP008028216,,,,,,
JTFSAFAP408029160,,,,,,
JTFSAFAP008028135,,,,,,
LGDCLA1G5MA124495,,,,,,
JTFHT02P000060596,,,,,,
JT7X2RB7107003027,,,,,,
JT7X2RB7107005799,,,,,,
JN1MC2E26Z0010069,,,,,,
JN1MC2E26Z0010075,,,,,,
JN1MC2E26Z0010052,,,,,,
JTDKD3B3501607978,,,,,,
WVWZZZAUZJW904154,,,,,,
WVWZZZAUZJW904107,,,,,,
JTDZZ9H370L000527,,,,,,
12048,,,,,,
JTDKD3B3401560801,"大嶼山証
21/2/19 send VRD to Benny",,,,,
JAANPR75HB7100960,郊野公園証,,,,,
JAAN1R75KC7100008,,,,,,
ZCFA1GD0002233595,超闊(($110)，左軚($110),,,,,
JTFHT02P900055834,,,,,,
JTFHT02PX00055597,,,,,,
KMFWBX7KLCU504845,,,,,,
LGAX2C147H1817688,$110 (過寬),,,,,
LJ11KCBD6H8023632,,,,,,
LJ11KCBE4K1112043,,,,,,
MMCJLKL60LH132478,,,,,,
MMCJLKL60LH133890,,,,,,
LGDCLA1G4NA103400,,,,,,
LGDCLA1G4NA500430,,,,,,
LGDCLA1G8NA500429,,,,,,
LGDCLA1G8NA103397,,,,,,
LGDCLA1G6NA500431,,,,,,
LGDCLA1GXNA500433,,,,,,
JHMRP1850LC200220,,,,,,
JHMRP1850LC200495,,,,,,
JHMRP1850LC200576,,,,,,
JHMRP1850LC200577,,,,,,
JHMRP1850LC200602,,,,,,
JHMRP1850LC200603,,,,,,
JHMRP1850LC200667,,,,,,
JHMRP1850LC200668,,,,,,
JHMRP1850LC200664,,,,,,
JHMRP1850LC200665,,,,,,
JHMRP1850LC200689,,,,,,
JHMRP1850LC200690,,,,,,
JHMRP1850LC200692,,,,,,
LHMRP1850LC200677,,,,,,
LHMRP1850LC200678,,,,,,
LHMRP1850LC200679,,,,,,
LHMRP1850LC200680,,,,,,
JHMRP3870LC201271,,,,,,
JHMRP3870LC201299,,,,,,
JHMRP3870LC201303,,,,,,
JHMRP3870LC201304,,,,,,
JHMRP3870LC201350,,,,,,
JHMRP3870LC201348,,,,,,
JHMRP3870LC201344,,,,,,
JHMRP3870LC201345,,,,,,
KPAY61EESMP146362,,,,,,
KPAY61EESMP157215,,,,,,
KPAY61EESMP157210,,,,,,
KPAY61EESMP157214,,,,,,
KPAY61EESMP157216,,,,,,
JTDBT42E209046876,,,,,,
JTDBT42E309100637,,,,,,
JTDBT42E609105220,,,,,,
MMCJLKL60LH133869,,,,,,
JTDBT40E109073683,,,,,,
JTDBT42E309105711,,,,,,
JTDBT42E409100792,,,,,,
KPAY61EESNP160060,,,,,,
KPAY61EESNP157209,,,,,,
JTDBT40E409062807,,,,,,
LGDCLB1L3MH133335,,,,,,
LGDCLB1G3NH500447,,,,,,
LGDCLB1G5NH500448,,,,,,
LGDCLB1L1MH133527,,,,,,
LGDCLB1L1MH132975,,,,,,
LGDCLB1LXMH133526,,,,,,
LJ11KCBE3L1121558,,,,,,
LJ11KCBE1L1121557,,,,,,
LJ11KCBE6N1108967,,,,,,
LGDCLA1G9NA103411,,,,,,
LGDCLA1G6NA103401,,,,,,
LGDCLA1G7NA103410,,,,,,
LGDCLA1G9NA103408,,,,,,
LGDCLA1G0NA103409,,,,,,
LGDCLA1G0NA103412,,,,,,
LGDCLA1GXNA103398,,,,,,
LGDCLA1G1NA103399,,,,,,
JHMRP3870LC201431,,,,,,
JHMRP3870LC201358,,,,,,
JAAN1R75KF7100363,,,,,,
JHMRP3870LC201422,,,,,,
JHMRP3870LC201380,,,,,,
JHMRP3870LC201327,,,,,,
LJ11KRBD0M1122114,,,,,,
LJ11KRBD2M1122115,,,,,,
JTFHT02P800191808,,,,,,
JT753AEB005349977,,,,,,
JTFSAFAP508044119,,,,,,
JAANPR75HN7101512,,,,,,
LGAX2D130NT827525,,,,,,
LGAX2D134NT827527,,,,,,
LGAX2D137NT827828,,,,,,
LGAX2D135NT827827,,,,,,
LGAX2D132NT827526,,,,,,
LGAX2D136NT827528,,,,,,
LGAX2D139NT827829,,,,,,
LGAX2D135NT827830,,,,,,
LGAX2D137NT827831,,,,,,
JTDBT22E903324678,,,,,,
JTDBT22E403177119,,,,,,
JTDBT42EX09065577,,,,,,
JTDBT22E400296645,,,,,,
JTDBT22E903218845,,,,,,
JZDBT22E200018052,,,,,,
JTDBT42E409120847,,,,,,
JTDBT22E303278863,,,,,,
JTDBT22E603030283,,,,,,
JHMRP6830NX200028,,,,,,
LGDCLA1G3NA109642,,,,,,
LGDCLA1G0NA112403,,,,,,
LGDCLA1G5NA112400,,,,,,
LGDCLA1G1NA109641,,,,,,
MMCJLKL60NH020946,,,,,,
MMCJLKL60NH021060,,,,,,
MMCJLKL60NH020990,,,,,,
MMCJLKL60NH020989,,,,,,
MMCJLKL60NH021058,,,,,,
MMCJLKL60MH021067,,,,,,
MMCJLKL60MH020987,,,,,,
MMCJLKL60NH021294,,,,,,
MMCJLKL60NH021296,,,,,,
MMCJLKL60NH021372,,,,,,
MMCJLKL60NH021298,,,,,,
MMCJLKL60NH021304,,,,,,
LGDCLA1GXNA121335,,,,,,
LGDCLA1G7NA112401,,,,,,
LGDCLA1G2NA112404,,,,,,
VR3EFYHZRNJ578166,,,,,,
VR3EFYHZRNJ578167,,,,,,
LC0CE4DC3P0009883,,,,,,
LSJE24030PG020394,,,,,,
LSJE24031PG020498,,,,,,
LSJE24032PG020395,,,,,,
LSJE24034PG020589,,,,,,
LSJE24033PG020499,,,,,,
LSJE24030PG020590,,,,,,
LJ11KCBE4N1112094,,,,,,
WMA08DZZ9NY443969,,,,,,
WMA08DZZONY443553,,,,,,
ZA9S5020EDAC38330,,,,,,
LGDCLA1G6NA121333,,,,,,
LGDCLA1G4NA121329,,,,,,
LGDCLA1G4NA121330,,,,,,
LGDCLA1G8NA121334,,,,,,
LGDCLA1G2NA121331,,,,,,
LGDCLA1G2NA121328,,,,,,
LGDCLA1G4NA121332,,,,,,
,,,,,,
LSJE24034PG020480,,,,,,
