vehicle,gps_number,vehicle_effective_date,vehicle_end_date,charge
LGAX2C132G1817345,13600003766,2017-08-21,,110
LGAX2C130H1817684,863835029172538,2017-12-12,,110
LGAX5D643J8819683,864507039726327,2018-06-19,,110
JHDSH1EEKXXX10015,868998032870699,2020-04-20,,110
LZZ1EXVB8JW354517,864606040848433,2019-11-04,,110
LZZ1EXVB3FW118817,864352048689962,2020-02-05,,110
NCP100-2016700,868998032866036,2019-12-11,,110
LZZ1BBMG7EW869801,864394040539514,2021-02-03,,110
JN1MC2E26Z0005509,,--,,
MPATFR86JFT003968,,--,,
V93W-0900227,,--,,
V93W-0900228,,--,,
MPATFR86JFT004527,,--,,
V93W-0900230,,--,,
JM6CW1071G0123573,,--,,
JM6CW1071G0123478,,--,,
JM6CW1071G0123582,,--,,
JM6CW1071G0123570,,--,,
JM6CW1071G0123559,,--,,
JM6CW1071G0123499,,--,,
JM6CW1071G0123465,,--,,
MPATFR86JGT001834,,--,,
JM6CW1071G0123564,868998039217811,2022-09-21,,110
MPATFR86JGT001835,,--,,
MPATFR86JGT001290,,--,,
MPATFR86JGT003344,,--,,
MPATFR86JGT003345,,--,,
JM6CW1071H0127821,,--,,
JM6CW1071H0127979,864352045818861,2022-09-21,,110
CV5W-1200957,,--,,
JM6CW1071H0126126,,--,,
WVWZZZ9NZ6Y187938,,--,23/12/2022,
FM657L-B00152,13390001435,2016-11-12,,110
JAANPR58LN-7103411,13600001759,2010-07-29,,110
JAANPR66PR-7100074,13600004086,2010-07-13,,110
JAANPR66LP-7102394,13610000371,2016-11-22,,110
JAANPR66LN-7100846,864606046129499,2011-08-26,,110
JAANPR66LS-7101395,864507031068454,2016-09-12,,110
JAANPR66PS-7100575,868998034778643,2010-07-22,,110
JAANPR66LS-7103188,868998030074104,2010-07-22,,110
JAANPR66PT-7101394,864507031068611,2010-06-21,,110
JAANPR66LT-7103064,864606045853107,2017-11-16,,110
JALFTR32NP-3000021,,--,,
JALFVR23PX-300007,864394040403521,2016-11-12,,110
FH211H-A00363,,2010-07-28,,110
JAANPR66LS-7103675,13600000560,2010-07-29,,110
FM617J-B00071,863835029213571,2011-08-16,,110
JALFVR23PV-3000235,13300208640,2016-11-12,,110
JALFVR23P57000031,13200208581,2016-11-12,,110
JAANPR70L57100166,868998031042274,2016-11-12,,110
JALFVR23P57000048,868998034819108,2016-11-16,,110
JAANPR70L57100160,13200140981,2010-08-05,,110
JAANPR70L57100071,13600003908,2010-07-29,,110
JALFVR23P57000030,13600004903,2011-08-12,,110
JAANPR70L57100072,868998032871085,2010-07-30,,110
JALFVR23P57000028,13200208217,2010-07-27,,110
MPATFS54H4H534030,13600000912,2013-11-01,,110
MPATFS54H4H533929,868998030019141,2013-12-01,,110
JTDKW223500369768,13390002185,2010-09-06,,110
JAANPR70L17100137,864352045836004,2010-07-28,,110
JAANPR66PS-7101461,13390001969,2010-07-30,,110
JAANPR66LV-7100565,13300202560,2016-11-12,,110
JAANPR66PV-7100261,13600000494,2010-07-29,,110
JAANPR70PY7100808,863835025010922,2016-11-12,,110
JAANPR70P27100233,13000115252,2010-07-30,,110
JALFVR23P57000099,13600004715,2010-07-16,,110
JALFVR34787000095,13390002672,2017-09-19,,110
JAANPR75K87100101,864352045758547,2010-08-03,,110
JALFVR34787000091,868998032874055,2016-11-15,,110
JT7X2RB7107001808,864606040847757,2019-11-11,,110
JAANPR75HA7100772,864352045778602,2010-08-03,,110
JAANPR75HA7100779,13000086681,2010-08-03,,110
JAANPR75KA7100644,13600003687,2010-08-04,,110
JAANPR75HA7100777,13600004106,2010-08-03,,110
JAANPR75HA7100686,868998030000695,2010-08-03,,110
JAANPR75HA7100685,863835026796701,2010-08-03,,110
NCP20-0329371,863835028953490,2011-05-20,,110
JAAN1R75KB7100239,864606040217266,2011-09-06,,110
NCP81-0041991,13300218089,2011-11-15,,110
JAAN1R75KB7100310,13600004741,2011-12-13,,110
JT7X2RB7107005727,864606045864500,2019-12-30,,110
JAANPR75HE7103628,864352047146261,2019-05-29,,110
JAANPR75HE7102200,863553060378027,2019-05-29,,110
JALFVR347E7000431,863553060367376,2019-03-15,,110
KNABX512MGT230844,13600004248,2016-03-31,,110
JN1MC2E26Z0005618,13600004660,2016-03-24,,110
LGAX2C135G1816447,863835027270110,2016-12-17,,110
JALFRR90KF7000112,13200193051,2016-09-05,,110
JHDFS1ELRXXX10146,13510098193,2016-08-29,,110
LGAX2C132G1817331,13390001511,2016-11-24,,110
LGAX2C139G1817343,863553060371345,2016-11-24,,110
LGAX2C137G1817342,13300217938,2017-02-22,,110
LGAX2C13XG1817335,13390003266,2016-11-24,,110
LGAX2C136G1817347,868998034782587,2017-04-06,,110
LGAX2C138G1817348,863835025912283,2017-04-06,,110
LGAX2C134G1817346,864352048682199,2017-04-10,,110
LGAX2C135G1817341,13390000095,2017-04-10,,110
JALFVR347H7000708,868998030033480,2018-09-24,,110
LGAX2C135H1818538,863835027187785,2018-01-04,,110
WVWZZZAUZJW904231,863835028949209,2017-01-01,,110
JTDZZ9H310L000524,864507031110090,2018-03-08,,110
JALCYH52SA7000068,868998033957933,2019-05-20,,110
LGAX2C134H1818711,868998032868016,2018-03-29,,110
LZZ1BBMG5EW869795,868998034867115,2019-06-26,,110
WV2ZZZ2KZJX160920,868998037274525,2019-11-05,,110
LZZ1BBMG5EW871630,863835025914503,2020-05-18,,110
LZZ1BBMG0EW872071,864606047062707,2020-05-13,,110
NCP100-2016057,864606046124797,2019-12-27,,110
NCP100-0134371,864606040854852,2019-12-27,,110
LZZ1BBMG1FW110837,863835027177182,2020-03-04,,110
LZZ1BBMGXFW110836,868998035593249,2019-09-06,,110
LZZ1BBMG8FW110835,868998034768867,2019-09-06,,110
ZA9S5020E6AC38281,864606046130828,2020-07-16,,110
WV2ZZZ2KZKX098541,864606048618101,2020-09-16,,110
WMAN08ZZ2LY410927,864352044659118,2021-06-18,,110
WMAN08ZZ4LY410833,864606047075972,2021-07-16,,110
WMAN08ZZ3LY410614,864352045813326,2021-08-09,,110
WMAN08ZZ9LY410911,864352045782836,2021-08-09,,110
WMAN08ZZ5LY410775,864352045772068,2021-08-09,,110
MPATFR86JDT000803,864352048701494,--,,110
MPATFR86JDT001025,,--,,
MPATFR86JDT001024,864352048670640,--,,110
MPATFR86JCT101113,,--,,
MPATFR86JDT000712,,--,,
MPATFR86JCT101112,,--,,
MPATFR86JDT000713,,--,,
V93W1200157,,--,,
GC27-800141,,--,,
GC27-800129,,--,,
GC27-800142,,--,,
GC27-800133,,--,,
GC27-800134,,--,,
GC27-800145,,--,,
GC27-800136,,--,,
V93W1200153,,--,,
MMCJLKL60LH132461,,--,,
MMCJLKL60LH133842,,--,,
MMCJLKL60LH133859,,--,,
MMCJLKL60LH133832,,--,,
MMCJLKL60LH133838,,--,,
MMCJLKL60LH133888,,--,,
WMAH21ZZ28M493806,864507031109084,2018-04-04,,110
JAANPR66LP-7102099,13600003695,2011-08-12,,110
JAANPR70L47101051,13300218066,2010-07-30,,110
JT7X2RB7107003071,13600003322,2017-07-20,,110
JN1MC2E26Z0005490,13600000930,2016-03-31,,110
YV2TH60AXDB640783,13300202978,2013-04-15,,110
PKC8E-01295,13390001611,2013-12-18,,110
YV2TH60A9DB640788,863835027173058,2013-04-15,,110
JTDBT42EX09070780,868998037265697,2008-01-01,,110
JTDBT22E300169384,868998032873206,2021-03-13,,110
JAAN1R75K87100201,868998037267032,2010-07-30,,110
JT7X2RB7107001934,,--,23/12/2022,
JTFHT02P900060290,864507030206147,2011-04-20,,110
JAANPR75HB7101375,864352048700736,2011-05-04,,110
JT7X2RB8007000179,,--,,
LVBV4JBB5GJ004082,13300217992,2018-08-03,,110
JAAN1R75KJ7100192,863835025004321,2021-08-17,,110
JTDBT22E400246344,868998030031013,2021-05-31,,110
LGAX2C139J1820234,864352045773041,2019-07-29,,110
JTDBT22E700014935,864352048701528,2022-12-29,,110
LJ11KCBE4L1112027,868998037265986,2020-12-23,,110
JTDBT22EX03307288,864352044648772,2021-03-31,,110
JTDBT22E203245000,864507031063877,2021-03-13,,110
JTDBT22E400154621,864507031096356,2021-03-13,,110
LJ11KCBE8L1112032,864352047140314,2021-03-23,,110
JTFSAFAP908024441,864606045897237,2021-03-26,,110
JTFSAFAP108024319,863835025898144,2021-03-26,,110
JTFSAFAPX08024223,868998037271133,2021-03-26,,110
LJ11KCBE6L1117603,864606047062616,2021-03-26,,110
LJ11KCBE8L1112029,863835027270979,2021-03-26,,110
JTDBT22E200324488,864352044145977,2021-03-31,,110
LJ11KCBD1L1122294,863835027270813,2021-04-08,,110
LJ11KCBD1L1122263,864352044654333,2021-04-19,,110
LJ11KRBD1L1125005,863835026801378,2021-05-18,,110
LJ11KRBDXL1125004,863835027187843,2021-05-18,,110
LJ11KCBD0M1111837,864352044659936,2021-06-23,,110
LJ11KCBD3M1112044,864352044650133,2021-06-23,,110
LJ11KCBD2M1111841,864352044148161,2021-06-23,,110
LJ11KCBD5M1112045,864352044642718,2021-06-23,,110
LJ11KCBD1M1112043,864352044642676,2021-06-23,,110
LJ11KCBD9M1111786,864352044669737,2021-06-23,,110
LJ11KCBD0M1111840,863553060363698,2021-07-23,,110
JALFXZ777G7000031,864352045766292,2021-10-08,,110
S402M-0059298,863835028949100,2021-11-09,,110
JALCYH52TG7000024,864606040214784,2022-02-07,,110
V93W-1000314,863835027269393,2018-01-24,,110
V93W-1000317,864507031082117,2018-01-24,,110
VR3ERHNS3LJ547514,,-,,
VR3ERHNS3MJ542769,,-,,
VR3ERHNS3LJ836040,,-,,
VR3ERHNS3LJ797492,,-,,
VR3ERHNS3MJ623483,,-,,
VR3ERHNS3MJ623482,,-,,
VR3ERHNS3MJ782949,,--,,
VR3ERHNS3MJ782944,,--,,
VR3ERHNS3MJ785620,,--,,
VR3ERHNS3MJ782946,,--,,
VR3ERHNS3MJ782948,,--,,
VR3ERHNS3MJ782942,,--,,
VR3ERHNS3MJ782951,,--,,
VR3ERHNS3MJ782947,,--,,
VR3ERHNS3MJ782945,,--,,
VR3ERHNS3MJ782943,,--,,
VR3ERHNS3MJ785619,,--,,
VR3ERHNS3MJ785621,,--,,
VR3ERHNS3MJ782950,,--,,
JTFHT02PX00060413,13300217665,2011-04-20,,110
LJ11KCBD1L1121016,868998034548194,2021-03-26,,110
LJ11KCBD5L1122265,864606049387813,2021-03-26,,110
NCP20-0346348,13300217723,2011-05-04,,110
NCP21-0067025,13300217926,2011-04-14,,110
NCP100-0139934,864606047062897,2019-12-11,,110
LJ11KCBD7M1111785,864352044649077,2021-06-23,,110
LJ11KCBD2M1111838,864352045816196,2021-07-23,,110
LJ11KCBD4M1111839,864352045813698,2021-07-23,,110
NCP20-0338464,13300217676,2011-08-11,,110
JT7X2RB7107003092,864606040854357,2019-10-30,,110
LGAX2C144J1820246,864606040857608,2019-11-30,,110
JT7X2RB8007003304,863835026809587,2021-11-12,,110
JT7X2RB8007003279,868998037267461,--,,110
JT7X2RB8007003297,,--,,
JTDKB20U607846853,863835028600851,2018-08-07,,110
JTFHT02P800055632,13600000663,2010-06-21,,110
JT7X2RB7107001983,,--,,
JT7X2RB7107005385,,--,,
JTDKD3B3801560753,864352047155205,2014-03-26,,110
JT7X2RB8007000211,,--,,
JTDKD3B3301588010,13400004872,2016-02-15,,110
LVBV4JBB2FJ057708,13390001585,2016-05-09,,110
JHMGD18502S232297,868998032865376,2021-04-19,,110
JAANPR66LR-7100203,13600001990,2010-08-05,,110
JAANPR66LT-7104082,868998032873396,2010-07-29,,110
JAANPR70LY7101515,863835029177792,2010-07-13,,110
JAANPR66PV-7100347,13600003866,2010-07-13,,110
JAANPR70L47101043,13200192900,2010-07-22,,110
MPATFS54H5H530384,863835029167116,2013-11-01,,110
NCP20-0342413,13600003476,2011-05-20,,110
LGAX2C134J1819766,864606045899357,2019-07-29,,110
LGAX2C134J1820240,13600000750,2019-07-29,,110
LGAX2C136J1820238,13600003859,2019-07-29,,110
LGAX2C132J1820236,13600003601,2019-07-29,,110
LGAX2C138J1820239,864606045900296,2019-07-29,,110
LGAX2C134J1820237,13600001672,2019-07-29,,110
LGAX2C130J1820235,868998032865566,2019-07-29,,110
JTDBT22E903250615,863835029202277,2004-01-01,,110
JTDZZ9H350L000526,,2018-03-20,,110
JT7X2RB8007000172,,--,,
JTNGK3DH60B007770,,--,,
JTNGZ3DH308054864,,--,,
WDDNG71X29A240900,,--,,
JTFSAFAP008028216,864352045774387,2021-09-27,,110
JTFSAFAP408029160,868998039223918,2021-09-27,,110
JTFSAFAP008028135,863835027174890,2021-09-27,,110
LGDCLA1G5MA124495,863835026805940,2021-11-19,,110
JTFHT02P000060596,864606046129465,2022-12-29,,110
JT7X2RB7107003027,13300203038,2017-02-20,,110
JT7X2RB7107005799,,--,23/12/2022,
JN1MC2E26Z0010069,863835028957079,2018-02-07,,110
JN1MC2E26Z0010075,864507031082083,2018-02-13,,110
JN1MC2E26Z0010052,864507030195217,2018-01-26,,110
JTDKD3B3501607978,863835029192494,2017-01-01,,110
WVWZZZAUZJW904154,863835028949399,2017-01-01,,110
WVWZZZAUZJW904107,864507031108680,2017-01-01,,110
JTDZZ9H370L000527,864352044659159,2018-03-20,,110
12048,,--,,
JTDKD3B3401560801,864352048690606,2022-12-09,,110
JAANPR75HB7100960,864352048699615,2011-04-14,,110
JAAN1R75KC7100008,13300217724,2017-06-19,,110
ZCFA1GD0002233595,864507031088189,2010-08-03,,110
JTFHT02P900055834,13300217745,2010-08-05,,110
JTFHT02PX00055597,868998033265790,2010-06-21,,110
KMFWBX7KLCU504845,13420600143,2012-11-02,,110
LGAX2C147H1817688,13600002975,2017-08-21,,110
LJ11KCBD6H8023632,864507031066201,2018-02-26,,110
LJ11KCBE4K1112043,864606044993912,2019-12-27,,110
MMCJLKL60LH132478,,--,,
MMCJLKL60LH133890,,--,,
LGDCLA1G4NA103400,864352047148002,2022-03-28,,110
LGDCLA1G4NA500430,864352045779683,2022-03-28,,110
LGDCLA1G8NA500429,864606045863809,2022-03-28,,110
LGDCLA1G8NA103397,863835029177412,2022-03-28,,110
LGDCLA1G6NA500431,864352047153937,2022-03-28,,110
LGDCLA1GXNA500433,868998033265345,2022-03-28,,110
JHMRP1850LC200220,,--,,
JHMRP1850LC200495,,--,,
JHMRP1850LC200576,,--,,
JHMRP1850LC200577,,--,,
JHMRP1850LC200602,,--,,
JHMRP1850LC200603,,--,,
JHMRP1850LC200667,,--,,
JHMRP1850LC200668,,--,,
JHMRP1850LC200664,,--,,
JHMRP1850LC200665,,--,,
JHMRP1850LC200689,,--,,
JHMRP1850LC200690,,--,,
JHMRP1850LC200692,,--,,
LHMRP1850LC200677,,--,,
LHMRP1850LC200678,,--,,
LHMRP1850LC200679,,--,,
LHMRP1850LC200680,,--,,
JHMRP3870LC201271,,--,,
JHMRP3870LC201299,,--,,
JHMRP3870LC201303,,--,,
JHMRP3870LC201304,,--,,
JHMRP3870LC201350,,--,,
JHMRP3870LC201348,,--,,
JHMRP3870LC201344,,--,,
JHMRP3870LC201345,,--,,
KPAY61EESMP146362,,--,,
KPAY61EESMP157215,,--,,
KPAY61EESMP157210,,--,,
KPAY61EESMP157214,,--,,
KPAY61EESMP157216,,--,,
JTDBT42E209046876,868998034635587,2022-07-30,,110
JTDBT42E309100637,868998031044866,2017-01-01,,110
JTDBT42E609105220,,--,,
MMCJLKL60LH133869,,--,,
JTDBT40E109073683,864606048607708,2017-01-01,,110
JTDBT42E309105711,864352047156773,2017-01-01,,110
JTDBT42E409100792,868998039208802,2017-01-01,,110
KPAY61EESNP160060,,--,,
KPAY61EESNP157209,,--,,
JTDBT40E409062807,864352047140975,2022-07-30,,110
LGDCLB1L3MH133335,864352047145750,2022-04-22,,110
LGDCLB1G3NH500447,864352047155700,2022-04-22,,110
LGDCLB1G5NH500448,864606045906434,2022-04-22,,110
LGDCLB1L1MH133527,868998031039668,2022-04-22,,110
LGDCLB1L1MH132975,864352047155296,2022-04-22,,110
LGDCLB1LXMH133526,864352047143730,2022-04-22,,110
LJ11KCBE3L1121558,864352047139084,2022-04-20,,110
LJ11KCBE1L1121557,868998032873867,2022-04-20,,110
LJ11KCBE6N1108967,864352045838687,2022-04-20,,110
LGDCLA1G9NA103411,864352047142435,2022-04-21,,110
LGDCLA1G6NA103401,864352047147897,2022-04-21,,110
LGDCLA1G7NA103410,864352047145420,2022-04-22,,110
LGDCLA1G9NA103408,864352047135363,2022-04-21,,110
LGDCLA1G0NA103409,864352045775426,2022-04-21,,110
LGDCLA1G0NA103412,864352047144779,2022-04-21,,110
LGDCLA1GXNA103398,864352047136775,2022-04-21,,110
LGDCLA1G1NA103399,864352047151493,2022-04-21,,110
JHMRP3870LC201431,,--,,
JHMRP3870LC201358,,--,,
JAAN1R75KF7100363,,--,,
JHMRP3870LC201422,,--,,
JHMRP3870LC201380,,--,,
JHMRP3870LC201327,,--,,
LJ11KRBD0M1122114,,--,,
LJ11KRBD2M1122115,,--,,
JTFHT02P800191808,,--,,
JT753AEB005349977,,--,,
JTFSAFAP508044119,868998030004580,2022-01-01,,110
JAANPR75HN7101512,863835028614993,2022-01-01,,110
LGAX2D130NT827525,864507032225632,2023-01-01,,110
LGAX2D134NT827527,868998037267560,2023-01-01,,110
LGAX2D137NT827828,863835029181745,2023-01-01,,110
LGAX2D135NT827827,868998030015180,2023-01-01,,110
LGAX2D132NT827526,864352047152772,2023-01-01,,110
LGAX2D136NT827528,868998037267024,2023-01-01,,110
LGAX2D139NT827829,864606047076590,2023-01-01,,110
LGAX2D135NT827830,864606045853040,2023-01-01,,110
LGAX2D137NT827831,868998033263936,2023-01-01,,110
JTDBT22E903324678,864352047156492,2022-07-30,,110
JTDBT22E403177119,864352047143904,2022-12-09,,110
JTDBT42EX09065577,864352047153952,2022-07-30,,110
JTDBT22E400296645,864352047150107,2022-07-30,,110
JTDBT22E903218845,864352047158738,2022-07-30,,110
JZDBT22E200018052,864352047140181,2022-07-30,,110
JTDBT42E409120847,864352047149299,2022-07-30,,110
JTDBT22E303278863,864606047292635,2022-07-30,,110
JTDBT22E603030283,864352047153044,2022-07-30,,110
JHMRP6830NX200028,,,,
LGDCLA1G3NA109642,868998033955473,2023-01-01,,110
LGDCLA1G0NA112403,864352047146873,2023-01-01,,110
LGDCLA1G5NA112400,864352045766003,2023-01-01,,110
LGDCLA1G1NA109641,868998039203266,2023-01-01,,110
MMCJLKL60NH020946,,--,,
MMCJLKL60NH021060,,--,,
MMCJLKL60NH020990,,--,,
MMCJLKL60NH020989,,--,,
MMCJLKL60NH021058,,--,,
MMCJLKL60MH021067,863553060367343,2023-01-01,,110
MMCJLKL60MH020987,863553060364043,2023-01-01,,110
MMCJLKL60NH021294,,--,,
MMCJLKL60NH021296,,--,,
MMCJLKL60NH021372,,--,,
MMCJLKL60NH021298,,--,,
MMCJLKL60NH021304,,--,,
LGDCLA1GXNA121335,,--,,
LGDCLA1G7NA112401,,--,,
LGDCLA1G2NA112404,,--,,
VR3EFYHZRNJ578166,864352048699649,2022-12-31,,110
VR3EFYHZRNJ578167,864352048694269,2022-12-31,,110
LC0CE4DC3P0009883,,--,,110
LSJE24030PG020394,,--,,
LSJE24031PG020498,,--,,
LSJE24032PG020395,,--,,
LSJE24034PG020589,,--,,
LSJE24033PG020499,,--,,
LSJE24030PG020590,,--,,
LJ11KCBE4N1112094,863553060378092,2023-01-01,,110
WMA08DZZ9NY443969,863553060368234,2023-01-01,,110
WMA08DZZONY443553,863553060345588,2023-01-01,,110
ZA9S5020EDAC38330,863553060380015,2023-01-01,,110
LGDCLA1G6NA121333,863553060345356,2023-01-01,,110
LGDCLA1G4NA121329,,,,
LGDCLA1G4NA121330,864352048701833,2023-01-01,,110
LGDCLA1G8NA121334,864352048695118,2023-01-01,,110
LGDCLA1G2NA121331,864352048695043,2023-01-01,,110
LGDCLA1G2NA121328,,--,,
LGDCLA1G4NA121332,864606047064752,2023-01-01,,110
,868998030069690,2023-01-01,,110
LSJE24034PG020480,,--,,
