vehicle,vehicle_end_date,license_fee
LZZ1BBMG0EW872071,2024-02-20,"4,694.00"
NCP100-2016057,2023-11-24,"5,074.00"
NCP100-0134371,2023-12-03,"5,074.00"
LZZ1BBMG1FW110837,2023-01-08,"4,694.00"
LZZ1BBMGXFW110836,2022-08-25,"4,694.00"
LZZ1BBMG8FW110835,2022-08-25,"4,694.00"
ZA9S5020E6AC38281,2023-07-27,"4,804.00"
WV2ZZZ2KZKX098541,2023-08-27,"4,254.00"
WMAN08ZZ2LY410927,2024-06-01,"4,914.00"
WMAN08ZZ4LY410833,2024-06-28,"4,914.00"
WMAN08ZZ3LY410614,2024-07-07,"4,914.00"
WMAN08ZZ9LY410911,2024-07-12,"4,914.00"
WMAN08ZZ5LY410775,2024-07-18,"4,914.00"
MPATFR86JDT000803,2024-06-24,"2,404.00"
MPATFR86JDT001025,2024-06-24,"2,404.00"
MPATFR86JDT001024,2024-06-24,"2,404.00"
MPATFR86JCT101113,2024-06-24,"2,404.00"
MPATFR86JDT000712,2024-06-24,"2,404.00"
MPATFR86JCT101112,2024-06-24,"2,404.00"
MPATFR86JDT000713,2024-06-24,"2,404.00"
V93W1200157,2024-05-06,"9,929.00"
GC27-800141,2024-05-06,"7,498.00"
GC27-800129,2024-05-06,"7,498.00"
GC27-800142,2024-05-06,"7,498.00"
GC27-800133,2024-05-06,"7,498.00"
GC27-800134,2024-05-06,"7,498.00"
GC27-800145,2024-05-06,"7,498.00"
GC27-800136,2024-05-06,"7,498.00"
V93W1200153,2024-05-06,"9,929.00"
MMCJLKL60LH132461,2023-12-05,"2,504.00"
MMCJLKL60LH133842,2024-01-18,"2,504.00"
MMCJLKL60LH133859,2024-02-08,"2,504.00"
MMCJLKL60LH133832,2023-02-20,"2,504.00"
MMCJLKL60LH133838,2024-02-29,"2,504.00"
MMCJLKL60LH133888,6/3//2024,"2,504.00"
WMAH21ZZ28M493806,2024-06-12,"4,804.00"
JAANPR66LP-7102099,2024-05-25,"2,404.00"
JAANPR70L47101051,2024-04-17,"2,404.00"
JT7X2RB7107003071,2023-08-14,"7,498.00"
JN1MC2E26Z0005490,2024-03-06,"4,254.00"
YV2TH60AXDB640783,2023-11-02,"4,694.00"
PKC8E-01295,2023-11-29,"4,694.00"
YV2TH60A9DB640788,2023-08-23,"4,694.00"
JTDBT42EX09070780,2024-03-17,"5,074.00"
JTDBT22E300169384,2023-10-26,"5,074.00"
JAAN1R75K87100201,2023-07-17,"4,694.00"
JT7X2RB7107001934,2023-06-17,"7,498.00"
JTFHT02P900060290,2024-06-29,"4,254.00"
JAANPR75HB7101375,2024-04-21,"2,404.00"
JT7X2RB8007000179,2024-07-05,"7,498.00"
LVBV4JBB5GJ004082,2024-03-28,"2,404.00"
JAAN1R75KJ7100192,2024-05-16,"4,694.00"
JTDBT22E400246344,2023-10-13,"5,074.00"
LGAX2C139J1820234,2024-07-09,"4,804.00"
JTDBT22E700014935,2024-03-22,"5,074.00"
LJ11KCBE4L1112027,2023-12-16,"2,404.00"
JTDBT22EX03307288,2023-09-11,"5,074.00"
JTDBT22E203245000,2024-03-25,"5,074.00"
JTDBT22E400154621,2023-08-31,"5,074.00"
LJ11KCBE8L1112032,2024-03-16,"2,404.00"
JTFSAFAP908024441,2024-03-17,"4,254.00"
JTFSAFAP108024319,2024-03-17,"4,254.00"
JTFSAFAPX08024223,2024-03-17,"4,254.00"
LJ11KCBE6L1117603,2024-03-21,"2,404.00"
LJ11KCBE8L1112029,2024-03-21,"2,404.00"
JTDBT22E200324488,2024-04-21,"5,074.00"
LJ11KCBD1L1122294,2024-03-23,"2,404.00"
LJ11KCBD1L1122263,2024-03-23,"2,404.00"
LJ11KRBD1L1125005,2024-05-05,"4,694.00"
LJ11KRBDXL1125004,2024-05-05,"4,694.00"
LJ11KCBD0M1111837,2023-06-16,"2,404.00"
LJ11KCBD3M1112044,2024-06-16,"2,404.00"
LJ11KCBD2M1111841,2023-06-16,"2,404.00"
LJ11KCBD5M1112045,2023-06-16,"2,404.00"
LJ11KCBD1M1112043,2023-06-16,"2,404.00"
LJ11KCBD9M1111786,2023-06-16,"2,404.00"
LJ11KCBD0M1111840,2024-07-06,"2,404.00"
JALFXZ777G7000031,2023-11-21,"4,694.00"
S402M-0059298,2023-10-27,
JALCYH52TG7000024,2024-01-16,"4,694.00"
V93W-1000314,2024-01-18,"9,929.00"
V93W-1000317,2024-01-18,"9,929.00"
VR3ERHNS3LJ547514,2023-05-03,"5,074.00"
VR3ERHNS3MJ542769,2023-05-03,"5,074.00"
VR3ERHNS3LJ836040,2023-05-03,"5,074.00"
VR3ERHNS3LJ797492,2023-05-03,"5,074.00"
VR3ERHNS3MJ623483,2023-05-03,"5,074.00"
VR3ERHNS3MJ623482,2023-05-30,"5,074.00"
VR3ERHNS3MJ782949,2023-10-26,"5,074.00"
VR3ERHNS3MJ782944,2023-10-26,"5,074.00"
VR3ERHNS3MJ785620,2023-10-26,"5,074.00"
VR3ERHNS3MJ782946,2023-10-26,"5,074.00"
VR3ERHNS3MJ782948,2023-10-26,"5,074.00"
VR3ERHNS3MJ782942,2023-10-26,"5,074.00"
VR3ERHNS3MJ782951,2023-10-26,"5,074.00"
VR3ERHNS3MJ782947,2023-10-26,"5,074.00"
VR3ERHNS3MJ782945,2023-10-26,"5,074.00"
VR3ERHNS3MJ782943,2023-10-26,"5,074.00"
VR3ERHNS3MJ785619,2023-10-26,"5,074.00"
VR3ERHNS3MJ785621,2023-10-26,"5,074.00"
VR3ERHNS3MJ782950,2023-10-28,"5,074.00"
JTFHT02PX00060413,2024-06-29,"4,254.00"
LJ11KCBD1L1121016,2024-03-22,"2,404.00"
LJ11KCBD5L1122265,2024-03-22,"2,404.00"
NCP20-0346348,2024-04-28,"5,074.00"
NCP21-0067025,2024-04-05,"5,074.00"
NCP100-0139934,2023-11-24,"5,074.00"
LJ11KCBD7M1111785,2024-06-16,"2,404.00"
LJ11KCBD2M1111838,2024-07-06,"2,404.00"
LJ11KCBD4M1111839,2024-07-06,"2,404.00"
NCP20-0338464,2024-07-05,"5,074.00"
JT7X2RB7107003092,2023-08-15,"7,498.00"
LGAX2C144J1820246,2023-11-14,"4,694.00"
JT7X2RB8007003304,2024-06-24,"7,498.00"
JT7X2RB8007003279,2024-06-24,"7,498.00"
JT7X2RB8007003297,2024-06-24,"7,498.00"
JTDKB20U607846853,2024-03-09,"5,074.00"
JTFHT02P800055632,2024-03-22,"4,254.00"
JT7X2RB7107001983,2024-06-17,"7,498.00"
JT7X2RB7107005385,2024-02-25,"7,498.00"
JTDKD3B3801560753,2024-07-05,"5,074.00"
JT7X2RB8007000211,2024-07-06,"7,498.00"
JTDKD3B3301588010,2023-12-30,"5,074.00"
LVBV4JBB2FJ057708,2024-04-27,"2,404.00"
JHMGD18502S232297,2023-12-09,"5,074.00"
JAANPR66LR-7100203,2023-09-13,"2,404.00"
JAANPR66LT-7104082,2024-03-16,"2,404.00"
JAANPR70LY7101515,2024-01-15,"2,404.00"
JAANPR66PV-7100347,2024-01-15,"2,404.00"
JAANPR70L47101043,2024-04-17,"2,404.00"
MPATFS54H5H530384,2024-06-26,"2,404.00"
NCP20-0342413,2024-05-16,"5,074.00"
LGAX2C134J1819766,2024-07-09,"4,804.00"
LGAX2C134J1820240,2024-07-09,"4,804.00"
LGAX2C136J1820238,2024-07-09,"4,804.00"
LGAX2C132J1820236,2023-10-19,"4,804.00"
LGAX2C138J1820239,2024-07-09,"4,804.00"
LGAX2C134J1820237,2024-07-09,"4,804.00"
LGAX2C130J1820235,2024-07-09,"4,804.00"
JTDBT22E903250615,2024-04-16,"5,074.00"
JTDZZ9H350L000526,2024-03-14,"5,074.00"
JT7X2RB8007000172,2023-07-05,"7,498.00"
JTNGK3DH60B007770,2024-04-07,"9,929.00"
JTNGZ3DH308054864,2023-06-04,"9,929.00"
WDDNG71X29A240900,2024-03-16,"14,694.00"
JTFSAFAP008028216,2023-10-02,"4,254.00"
JTFSAFAP408029160,2023-09-23,"4,254.00"
JTFSAFAP008028135,2023-09-23,"4,254.00"
LGDCLA1G5MA124495,2023-11-04,"2,404.00"
JTFHT02P000060596,2024-06-29,"4,254.00"
JT7X2RB7107003027,2023-08-14,"7,498.00"
JT7X2RB7107005799,2023-06-09,"7,498.00"
JN1MC2E26Z0010069,2023-12-27,"4,254.00"
JN1MC2E26Z0010075,2024-01-09,"4,254.00"
JN1MC2E26Z0010052,2024-01-09,"4,254.00"
JTDKD3B3501607978,2024-01-17,"5,074.00"
WVWZZZAUZJW904154,2024-01-30,"1,058.00"
WVWZZZAUZJW904107,2024-01-30,"1,058.00"
JTDZZ9H370L000527,2024-03-14,"5,074.00"
12048,2013-06-14,"2,016.00"
JTDKD3B3401560801,2024-07-10,"5,074.00"
JAANPR75HB7100960,2024-04-14,"2,404.00"
JAAN1R75KC7100008,2023-12-19,"4,694.00"
ZCFA1GD0002233595,2024-01-29,"4,914.00"
JTFHT02P900055834,2024-04-25,"4,254.00"
JTFHT02PX00055597,2024-04-06,"4,254.00"
KMFWBX7KLCU504845,2023-10-17,"4,254.00"
LGAX2C147H1817688,2023-07-25,"4,804.00"
LJ11KCBD6H8023632,2024-02-11,"2,404.00"
LJ11KCBE4K1112043,2023-12-22,"2,404.00"
MMCJLKL60LH132478,2024-03-22,"2,504.00"
MMCJLKL60LH133890,2024-03-23,"2,504.00"
LGDCLA1G4NA103400,2024-03-23,
LGDCLA1G4NA500430,2024-03-23,
LGDCLA1G8NA500429,2024-03-21,
LGDCLA1G8NA103397,2024-03-21,
LGDCLA1G6NA500431,2024-03-21,
LGDCLA1GXNA500433,2024-03-21,
JHMRP1850LC200220,2024-03-22,
JHMRP1850LC200495,2024-03-22,
JHMRP1850LC200576,2024-03-22,
JHMRP1850LC200577,2024-03-22,
JHMRP1850LC200602,2024-03-22,
JHMRP1850LC200603,2024-03-22,
JHMRP1850LC200667,2024-03-22,
JHMRP1850LC200668,2024-03-22,
JHMRP1850LC200664,2024-03-22,
JHMRP1850LC200665,2024-03-22,
JHMRP1850LC200689,2024-03-22,
JHMRP1850LC200690,2024-03-22,
JHMRP1850LC200692,2024-03-22,
LHMRP1850LC200677,2024-03-22,
LHMRP1850LC200678,2024-03-22,
LHMRP1850LC200679,2024-03-22,
LHMRP1850LC200680,2024-03-22,
JHMRP3870LC201271,2024-03-22,
JHMRP3870LC201299,2024-03-22,
JHMRP3870LC201303,2024-03-22,
JHMRP3870LC201304,2024-03-22,
JHMRP3870LC201350,2024-03-22,
JHMRP3870LC201348,2024-03-22,
JHMRP3870LC201344,2024-03-22,
JHMRP3870LC201345,2024-03-22,
KPAY61EESMP146362,2024-03-22,
KPAY61EESMP157215,2024-03-24,
KPAY61EESMP157210,2024-03-24,
KPAY61EESMP157214,2024-03-24,
KPAY61EESMP157216,2024-03-24,
JTDBT42E209046876,2023-10-11,"5,074.00"
JTDBT42E309100637,2024-04-06,"5,074.00"
JTDBT42E609105220,2022-10-03,"5,074.00"
MMCJLKL60LH133869,2024-04-03,"2,504.00"
JTDBT40E109073683,2024-04-11,"5,074.00"
JTDBT42E309105711,2024-05-10,"5,074.00"
JTDBT42E409100792,2024-05-13,"5,074.00"
KPAY61EESNP160060,2023-10-11,
KPAY61EESNP157209,2023-10-11,
JTDBT40E409062807,2024-06-24,"5,074.00"
LGDCLB1L3MH133335,2024-04-11,
LGDCLB1G3NH500447,2024-04-11,
LGDCLB1G5NH500448,2024-04-11,
LGDCLB1L1MH133527,2024-04-13,
LGDCLB1L1MH132975,0204-04-13,
LGDCLB1LXMH133526,2024-04-13,
LJ11KCBE3L1121558,2024-04-18,
LJ11KCBE1L1121557,2024-04-18,
LJ11KCBE6N1108967,2024-04-18,
LGDCLA1G9NA103411,2024-04-13,
LGDCLA1G6NA103401,2024-04-11,
LGDCLA1G7NA103410,2024-04-19,
LGDCLA1G9NA103408,2024-04-19,
LGDCLA1G0NA103409,2024-04-19,
LGDCLA1G0NA103412,2024-04-19,
LGDCLA1GXNA103398,2024-04-19,
LGDCLA1G1NA103399,2024-04-19,
JHMRP3870LC201431,2023-05-02,
JHMRP3870LC201358,2023-05-02,
JAAN1R75KF7100363,2024-06-15,
JHMRP3870LC201422,2023-05-17,
JHMRP3870LC201380,2023-05-17,
JHMRP3870LC201327,2023-05-17,
LJ11KRBD0M1122114,2024-05-26,
LJ11KRBD2M1122115,2024-05-26,
JTFHT02P800191808,2024-05-05,
JT753AEB005349977,2024-06-05,
JTFSAFAP508044119,2023-08-09,
JAANPR75HN7101512,2023-08-21,
LGAX2D130NT827525,2024-07-06,
LGAX2D134NT827527,2023-07-25,
LGAX2D137NT827828,2023-07-25,
LGAX2D135NT827827,2023-08-10,
LGAX2D132NT827526,2023-08-18,
LGAX2D136NT827528,2023-08-23,
LGAX2D139NT827829,2023-08-30,
LGAX2D135NT827830,2023-08-30,
LGAX2D137NT827831,2023-09-15,
JTDBT22E903324678,2024-06-16,
JTDBT22E403177119,2024-06-20,
JTDBT42EX09065577,2023-11-13,
JTDBT22E400296645,2024-07-08,
JTDBT22E903218845,2023-10-14,
JZDBT22E200018052,2024-06-20,
JTDBT42E409120847,2023-08-23,
JTDBT22E303278863,2024-06-22,
JTDBT22E603030283,2024-06-26,
JHMRP6830NX200028,2023-11-07,
LGDCLA1G3NA109642,2023-10-26,
LGDCLA1G0NA112403,2023-10-26,
LGDCLA1G5NA112400,2023-10-26,
LGDCLA1G1NA109641,2023-10-26,
MMCJLKL60NH020946,2023-09-18,
MMCJLKL60NH021060,2024-03-19,
MMCJLKL60NH020990,2024-03-28,
MMCJLKL60NH020989,2024-04-16,
MMCJLKL60NH021058,2024-04-16,
MMCJLKL60MH021067,2024-04-18,
MMCJLKL60MH020987,2024-04-18,
MMCJLKL60NH021294,2024-05-07,
MMCJLKL60NH021296,2024-05-07,
MMCJLKL60NH021372,2024-05-09,
MMCJLKL60NH021298,2024-05-07,
MMCJLKL60NH021304,2024-05-07,
LGDCLA1GXNA121335,2023-11-29,
LGDCLA1G7NA112401,2023-12-12,
LGDCLA1G2NA112404,2023-12-12,
VR3EFYHZRNJ578166,2023-12-01,
VR3EFYHZRNJ578167,2023-12-01,
LC0CE4DC3P0009883,2024-02-16,
LSJE24030PG020394,2024-03-05,
LSJE24031PG020498,2024-03-05,
LSJE24032PG020395,2024-03-05,
LSJE24034PG020589,2024-03-12,
LSJE24033PG020499,2024-03-12,
LSJE24030PG020590,2024-03-12,
LJ11KCBE4N1112094,2024-03-28,
WMA08DZZ9NY443969,2024-03-02,
WMA08DZZONY443553,2024-03-13,
ZA9S5020EDAC38330,2024-03-21,
LGDCLA1G6NA121333,,
LGDCLA1G4NA121329,,
LGDCLA1G4NA121330,,
LGDCLA1G8NA121334,,
LGDCLA1G2NA121331,,
LGDCLA1G2NA121328,,
LGDCLA1G4NA121332,,
,,
LSJE24034PG020480,/,
